ID,CVF,prosity,E,mu,Strength,figure
153,0.06,31,1.12E+11,0.29778,866157896.5,153.png
154,0.06,36,1.11E+11,0.29778,839214316.8,154.png
155,0.06,37,1.12E+11,0.29197,866488463.2,155.png
156,0.06,34,1.12E+11,0.29882,812943795.2,156.png
157,0.06,39,1.11E+11,0.30026,821719852.2,157.png
158,0.06,41,1.11E+11,0.29266,851376604.4,158.png
159,0.06,48,1.09E+11,0.29448,843470594.8,159.png
160,0.06,37,1.12E+11,0.30332,758221405.5,160.png
161,0.06,38,1.12E+11,0.29448,852470382.9,161.png
162,0.06,40,1.11E+11,0.29881,830732460.5,162.png
163,0.06,40,1.11E+11,0.31138,814592274.9,163.png
164,0.06,42,1.11E+11,0.29864,822395046.8,164.png
165,0.06,43,1.11E+11,0.29271,782640311.1,165.png
166,0.06,41,1.11E+11,0.29557,814189584.3,166.png
167,0.06,39,1.11E+11,0.28114,828744849.7,167.png
168,0.06,40,1.12E+11,0.29468,830769170.1,168.png
169,0.06,44,1.11E+11,0.29596,799837243.9,169.png
170,0.06,41,1.11E+11,0.29976,865379405.3,170.png
171,0.06,41,1.11E+11,0.30633,798400424.9,171.png
172,0.06,37,1.11E+11,0.29918,881297256.9,172.png
173,0.06,37,1.11E+11,0.29668,878375192.7,173.png
174,0.06,37,1.12E+11,0.30669,814462995.9,174.png
175,0.06,33,1.12E+11,0.2942,828536944,175.png
176,0.07,42,1.13E+11,0.29716,789695016.7,176.png
177,0.07,56,1.10E+11,0.29945,791187999.4,177.png
178,0.07,47,1.11E+11,0.29958,790415422.5,178.png
179,0.07,40,1.13E+11,0.30123,873961736.9,179.png
180,0.07,33,1.14E+11,0.28832,860134135.3,180.png
181,0.07,40,1.13E+11,0.29447,730817911.1,181.png
182,0.07,42,1.12E+11,0.29811,791989448.5,182.png
183,0.07,48,1.13E+11,0.30284,826821453.8,183.png
184,0.07,30,1.14E+11,0.29217,848460315.5,184.png
185,0.07,36,1.13E+11,0.29553,822458789.6,185.png
186,0.07,39,1.13E+11,0.29018,841269626.6,186.png
187,0.07,37,1.14E+11,0.29342,796679825.1,187.png
188,0.07,29,1.15E+11,0.30399,872120686.3,188.png
189,0.07,37,1.14E+11,0.28602,821954490.3,189.png
190,0.07,41,1.13E+11,0.29008,895084218.1,190.png
191,0.07,59,1.11E+11,0.29812,713420156.6,191.png
192,0.07,36,1.14E+11,0.2947,857620231,192.png
193,0.07,39,1.13E+11,0.29872,841292982,193.png
194,0.07,38,1.13E+11,0.29654,811905263.7,194.png
195,0.07,26,1.15E+11,0.29766,880008848.7,195.png
196,0.07,37,1.14E+11,0.28781,893400239.2,196.png
197,0.07,34,1.14E+11,0.27644,840898982.2,197.png
198,0.07,41,1.13E+11,0.29124,830418534.9,198.png
199,0.07,46,1.12E+11,0.29441,803832806,199.png
200,0.07,34,1.14E+11,0.29677,863142346.1,200.png
201,0.08,44,1.15E+11,0.28891,864561103.7,201.png
202,0.08,50,1.13E+11,0.29058,855658537.7,202.png
203,0.08,46,1.14E+11,0.29652,858174231.3,203.png
204,0.08,35,1.16E+11,0.29568,834851367.7,204.png
205,0.08,24,1.17E+11,0.28604,897048212.9,205.png
206,0.08,39,1.15E+11,0.29362,791748983.3,206.png
207,0.08,40,1.15E+11,0.286,827247931.4,207.png
208,0.08,40,1.16E+11,0.29071,897360982.4,208.png
209,0.08,44,1.14E+11,0.29394,805983641.2,209.png
210,0.08,31,1.18E+11,0.29584,898287132.4,210.png
211,0.08,37,1.16E+11,0.29136,881868751.5,211.png
212,0.08,42,1.14E+11,0.28774,874647556.2,212.png
213,0.08,37,1.16E+11,0.29928,884571556.2,213.png
214,0.08,40,1.15E+11,0.29381,839036835.7,214.png
215,0.08,46,1.14E+11,0.29964,808303966,215.png
216,0.08,55,1.13E+11,0.3121,876529007.4,216.png
217,0.08,38,1.16E+11,0.28739,850641001.6,217.png
218,0.08,35,1.16E+11,0.29075,728990718.6,218.png
219,0.08,38,1.15E+11,0.29468,797145079.8,219.png
220,0.08,43,1.16E+11,0.27814,860861109.2,220.png
221,0.08,46,1.14E+11,0.30087,851501205.1,221.png
222,0.08,32,1.16E+11,0.29741,832299290.3,222.png
223,0.08,39,1.15E+11,0.29749,862835815.9,223.png
224,0.08,46,1.14E+11,0.2975,755607114.7,224.png
225,0.08,41,1.15E+11,0.30011,847602288.7,225.png
226,0.09,33,1.18E+11,0.2929,839003563.5,226.png
227,0.09,34,1.18E+11,0.29236,894484323.3,227.png
228,0.09,33,1.18E+11,0.29465,853268438.8,228.png
229,0.09,50,1.15E+11,0.29359,812536622.3,229.png
230,0.09,45,1.17E+11,0.29852,817118684.2,230.png
231,0.09,38,1.18E+11,0.28744,782787345,231.png
232,0.09,42,1.17E+11,0.28704,814984692.5,232.png
233,0.09,45,1.17E+11,0.28918,869789837.4,233.png
234,0.09,39,1.17E+11,0.29436,838370143.7,234.png
235,0.09,37,1.17E+11,0.2942,816915343.7,235.png
236,0.09,47,1.15E+11,0.2953,833744154,236.png
237,0.09,33,1.19E+11,0.29013,843919304.7,237.png
238,0.09,38,1.17E+11,0.28967,868845610.2,238.png
239,0.09,42,1.17E+11,0.28785,798700511.6,239.png
240,0.09,42,1.16E+11,0.28838,817531750.7,240.png
241,0.09,38,1.18E+11,0.30158,873924362.8,241.png
242,0.09,47,1.16E+11,0.2955,703342515.5,242.png
243,0.09,53,1.16E+11,0.29221,843145326,243.png
244,0.09,37,1.18E+11,0.29367,869961504.2,244.png
245,0.09,42,1.16E+11,0.29494,867335452.1,245.png
246,0.09,29,1.19E+11,0.28681,907901014.7,246.png
247,0.09,40,1.17E+11,0.29205,881362336.9,247.png
248,0.09,47,1.15E+11,0.28094,861385583,248.png
249,0.09,51,1.15E+11,0.29693,768041899.5,249.png
250,0.09,35,1.17E+11,0.28901,845109525.9,250.png
251,0.1,45,1.18E+11,0.27315,824976282.5,251.png
252,0.1,42,1.20E+11,0.28908,817493542.1,252.png
253,0.1,35,1.20E+11,0.29093,867414459.3,253.png
254,0.1,37,1.19E+11,0.29548,848497430.9,254.png
255,0.1,43,1.19E+11,0.28731,820123324.4,255.png
256,0.1,31,1.20E+11,0.30392,872289781,256.png
257,0.1,33,1.20E+11,0.28351,832822513.6,257.png
258,0.1,30,1.21E+11,0.28073,905772597.2,258.png
259,0.1,39,1.20E+11,0.29309,811546644.9,259.png
260,0.1,43,1.18E+11,0.30474,745464074.9,260.png
261,0.1,38,1.20E+11,0.28362,907999779.3,261.png
262,0.1,37,1.21E+11,0.28789,828428758.2,262.png
263,0.1,42,1.19E+11,0.29841,897369881.1,263.png
264,0.1,32,1.21E+11,0.28243,881383250.1,264.png
265,0.1,42,1.20E+11,0.28977,881140780.9,265.png
266,0.1,43,1.19E+11,0.28958,875792777.2,266.png
267,0.1,48,1.18E+11,0.29182,875352316.4,267.png
268,0.1,48,1.18E+11,0.28899,805909418.9,268.png
269,0.1,42,1.18E+11,0.289,862072538.8,269.png
270,0.1,32,1.20E+11,0.29019,896917113.7,270.png
271,0.1,36,1.19E+11,0.28892,869280083.5,271.png
272,0.1,34,1.20E+11,0.28903,911111357.2,272.png
273,0.1,44,1.18E+11,0.28548,830950301.2,273.png
274,0.1,49,1.18E+11,0.29129,822106268.3,274.png
275,0.1,40,1.19E+11,0.28445,878109469.1,275.png
276,0.11,44,1.20E+11,0.28674,843296912.6,276.png
277,0.11,29,1.24E+11,0.2912,885000504.7,277.png
278,0.11,47,1.19E+11,0.27094,822598597.8,278.png
279,0.11,36,1.21E+11,0.28319,892274067,279.png
280,0.11,38,1.22E+11,0.28874,793907797,280.png
281,0.11,28,1.22E+11,0.28205,927563999.3,281.png
282,0.11,32,1.23E+11,0.28919,916866389,282.png
283,0.11,41,1.21E+11,0.28239,839408114.7,283.png
284,0.11,33,1.21E+11,0.30242,843428577,284.png
285,0.11,36,1.21E+11,0.28529,851194210.9,285.png
286,0.11,45,1.20E+11,0.28352,880784390.9,286.png
287,0.11,40,1.21E+11,0.28178,901795464.6,287.png
288,0.11,34,1.22E+11,0.31738,819088635.4,288.png
289,0.11,22,1.23E+11,0.28609,919463863.9,289.png
290,0.11,38,1.20E+11,0.2954,794396193.3,290.png
291,0.11,51,1.20E+11,0.2865,886534360.1,291.png
292,0.11,34,1.21E+11,0.28657,901225356,292.png
293,0.11,43,1.20E+11,0.29006,853999048.4,293.png
294,0.11,38,1.21E+11,0.28747,864125749.2,294.png
295,0.11,38,1.21E+11,0.28734,869329140.1,295.png
296,0.11,43,1.20E+11,0.29369,848341369.2,296.png
297,0.11,31,1.22E+11,0.28913,811734289.9,297.png
298,0.11,28,1.23E+11,0.28637,817204267.5,298.png
299,0.11,39,1.22E+11,0.28315,909790686.9,299.png
300,0.11,37,1.22E+11,0.27909,870960155.7,300.png
301,0.12,41,1.23E+11,0.30796,871752539,301.png
302,0.12,24,1.26E+11,0.28148,878348052.7,302.png
303,0.12,41,1.22E+11,0.28021,885745580,303.png
304,0.12,44,1.22E+11,0.27618,821281519,304.png
305,0.12,38,1.23E+11,0.28614,896011466.9,305.png
306,0.12,44,1.23E+11,0.28893,818199852.5,306.png
307,0.12,45,1.22E+11,0.29882,772661752.4,307.png
308,0.12,30,1.24E+11,0.28515,973318498.6,308.png
309,0.12,39,1.23E+11,0.28626,888145583.1,309.png
310,0.12,42,1.22E+11,0.28257,864811610.3,310.png
311,0.12,33,1.25E+11,0.28286,898325235.2,311.png
312,0.12,53,1.22E+11,0.29982,890955169.1,312.png
313,0.12,35,1.24E+11,0.29034,880109330.7,313.png
314,0.12,47,1.21E+11,0.28982,785391765.3,314.png
315,0.12,39,1.25E+11,0.28848,874967317.4,315.png
316,0.12,35,1.23E+11,0.2882,895231321.7,316.png
317,0.12,40,1.23E+11,0.28666,907030110.2,317.png
318,0.12,41,1.23E+11,0.27124,866323550,318.png
319,0.12,38,1.23E+11,0.29017,870238846.2,319.png
320,0.12,36,1.23E+11,0.2839,860022848.1,320.png
321,0.12,42,1.22E+11,0.29063,891847096.9,321.png
322,0.12,43,1.23E+11,0.29472,892813417,322.png
323,0.12,47,1.21E+11,0.28798,851209043.7,323.png
324,0.12,32,1.25E+11,0.281,891250112.8,324.png
325,0.12,41,1.23E+11,0.29205,839650060,325.png
326,0.13,44,1.24E+11,0.28242,818217513.8,326.png
327,0.13,39,1.25E+11,0.28821,886733852,327.png
328,0.13,40,1.25E+11,0.27984,895316770,328.png
329,0.13,36,1.26E+11,0.28432,910225206.4,329.png
330,0.13,35,1.26E+11,0.28563,862014649.1,330.png
331,0.13,43,1.24E+11,0.28741,835305554.8,331.png
332,0.13,28,1.27E+11,0.28864,901257952.4,332.png
333,0.13,36,1.26E+11,0.27836,880477200.3,333.png
334,0.13,41,1.25E+11,0.29038,860163532.6,334.png
335,0.13,36,1.26E+11,0.28415,882013843.7,335.png
336,0.13,37,1.26E+11,0.27399,881923192.5,336.png
337,0.13,50,1.23E+11,0.27736,837742131.5,337.png
338,0.13,51,1.24E+11,0.30974,873094354.9,338.png
339,0.13,51,1.24E+11,0.28418,874035624.8,339.png
340,0.13,30,1.26E+11,0.28679,915046631.5,340.png
341,0.13,59,1.23E+11,0.28936,857443217.8,341.png
342,0.13,38,1.25E+11,0.28684,873114013,342.png
343,0.13,39,1.26E+11,0.2781,807363258.1,343.png
344,0.13,46,1.24E+11,0.28429,817987709.3,344.png
345,0.13,39,1.25E+11,0.2876,882030162.9,345.png
346,0.13,34,1.26E+11,0.28394,938841000.1,346.png
347,0.13,41,1.25E+11,0.28672,827626043.1,347.png
348,0.13,35,1.26E+11,0.27669,778297146.6,348.png
349,0.13,48,1.24E+11,0.28749,874837409.4,349.png
350,0.13,38,1.26E+11,0.28387,842820555.7,350.png
351,0.14,40,1.29E+11,0.28397,852075800.9,351.png
352,0.14,45,1.26E+11,0.27705,868318106.3,352.png
353,0.14,36,1.29E+11,0.28197,854694055.7,353.png
354,0.14,29,1.29E+11,0.27769,959807277.9,354.png
355,0.14,44,1.26E+11,0.28391,772634053,355.png
356,0.14,38,1.28E+11,0.27863,928084938.8,356.png
357,0.14,36,1.29E+11,0.28465,909024501.3,357.png
358,0.14,33,1.28E+11,0.27505,915719999.2,358.png
359,0.14,34,1.28E+11,0.28016,939547175.9,359.png
360,0.14,48,1.25E+11,0.28532,676830328.7,360.png
361,0.14,38,1.28E+11,0.27561,892560660.5,361.png
362,0.14,25,1.30E+11,0.27378,825238562.7,362.png
363,0.14,44,1.27E+11,0.30786,868432942.4,363.png
364,0.14,34,1.29E+11,0.28382,929123014.4,364.png
365,0.14,33,1.27E+11,0.30137,842817636.3,365.png
366,0.14,34,1.30E+11,0.27613,916742121.3,366.png
367,0.14,36,1.28E+11,0.28066,879537037.7,367.png
368,0.14,33,1.28E+11,0.28154,903777339.4,368.png
369,0.14,39,1.28E+11,0.28633,913447140.3,369.png
370,0.14,40,1.27E+11,0.28595,813626272.2,370.png
371,0.14,42,1.25E+11,0.2896,835123198.3,371.png
372,0.14,37,1.28E+11,0.37831,875900848.4,372.png
373,0.14,32,1.28E+11,0.28334,883237741.8,373.png
374,0.14,35,1.28E+11,0.2783,864619191.5,374.png
375,0.14,42,1.28E+11,0.27867,908673854.1,375.png
376,0.15,42,1.29E+11,0.2855,931774763.2,376.png
377,0.15,28,1.31E+11,0.27772,902348738.2,377.png
378,0.15,42,1.30E+11,0.28142,849106262.6,378.png
379,0.15,48,1.28E+11,0.28572,851915189,379.png
380,0.15,43,1.29E+11,0.27996,918481115.5,380.png
381,0.15,40,1.29E+11,0.27846,895472726.4,381.png
382,0.15,44,1.29E+11,0.28263,876609524.3,382.png
383,0.15,43,1.30E+11,0.28458,758142328.1,383.png
384,0.15,47,1.29E+11,0.25494,826279744.5,384.png
385,0.15,44,1.29E+11,0.2848,883138069.2,385.png
386,0.15,32,1.32E+11,0.28452,887719738.2,386.png
387,0.15,38,1.29E+11,0.28589,933333907.4,387.png
388,0.15,50,1.28E+11,0.28883,893894231.2,388.png
389,0.15,40,1.29E+11,0.2881,882808741.2,389.png
390,0.15,26,1.32E+11,0.26963,955483317.9,390.png
391,0.15,45,1.28E+11,0.28091,776785056.2,391.png
392,0.15,50,1.27E+11,0.27487,773717827.7,392.png
393,0.15,32,1.31E+11,0.27716,881628210.6,393.png
394,0.15,37,1.30E+11,0.28117,901752766.4,394.png
395,0.15,40,1.29E+11,0.28068,892721927.5,395.png
396,0.15,42,1.30E+11,0.27746,881041040.2,396.png
397,0.15,37,1.32E+11,0.27363,881174680.8,397.png
398,0.15,26,1.32E+11,0.29224,926467222,398.png
399,0.15,50,1.29E+11,0.29455,877705849.3,399.png
400,0.15,26,1.32E+11,0.28294,930390123.7,400.png
401,0.16,54,1.29E+11,0.2773,883776778.6,401.png
402,0.16,29,1.35E+11,0.28255,942566538.5,402.png
403,0.16,35,1.32E+11,0.27958,906435883,403.png
404,0.16,41,1.33E+11,0.27985,888203599.6,404.png
405,0.16,30,1.34E+11,0.27729,883730048.6,405.png
406,0.16,31,1.33E+11,0.28034,935178666.9,406.png
407,0.16,32,1.34E+11,0.26103,915220745.6,407.png
408,0.16,37,1.32E+11,0.28449,905425553.8,408.png
409,0.16,42,1.31E+11,0.27643,828189662,409.png
410,0.16,46,1.32E+11,0.27907,921620581.8,410.png
411,0.16,33,1.33E+11,0.28076,888083620.5,411.png
412,0.16,39,1.32E+11,0.27598,859632685.6,412.png
413,0.16,47,1.31E+11,0.27824,871331931.1,413.png
414,0.16,42,1.31E+11,0.2788,885845145.7,414.png
415,0.16,39,1.33E+11,0.26782,916833017,415.png
416,0.16,45,1.32E+11,0.28385,900213212.9,416.png
417,0.16,40,1.32E+11,0.27125,918304772.9,417.png
418,0.16,41,1.31E+11,0.2763,880766571.9,418.png
419,0.16,45,1.30E+11,0.28342,724586862,419.png
420,0.16,37,1.32E+11,0.28252,872675409.3,420.png
421,0.16,53,1.30E+11,0.28336,872812378.1,421.png
422,0.16,37,1.32E+11,0.2779,906323684.3,422.png
423,0.16,33,1.33E+11,0.27945,845038113.2,423.png
424,0.16,48,1.30E+11,0.27797,837305738.2,424.png
425,0.16,42,1.32E+11,0.27087,950053750,425.png
426,0.17,30,1.35E+11,0.27216,891525619.9,426.png
427,0.17,57,1.31E+11,0.275,878430043.6,427.png
428,0.17,32,1.36E+11,0.27531,932854170.3,428.png
429,0.17,40,1.33E+11,0.27553,887006437.2,429.png
430,0.17,38,1.35E+11,0.27788,897135305.7,430.png
431,0.17,38,1.34E+11,0.27706,925426603.3,431.png
432,0.17,29,1.36E+11,0.27785,901289715.6,432.png
433,0.17,50,1.31E+11,0.29643,848486185.8,433.png
434,0.17,43,1.34E+11,0.27944,911500584,434.png
435,0.17,33,1.35E+11,0.27487,894333615.6,435.png
436,0.17,46,1.33E+11,0.2772,904295922.4,436.png
437,0.17,31,1.36E+11,0.27609,888373607.8,437.png
438,0.17,45,1.33E+11,0.2803,922190597,438.png
439,0.17,36,1.35E+11,0.28199,925287806.3,439.png
440,0.17,37,1.35E+11,0.2826,865177605.5,440.png
441,0.17,34,1.36E+11,0.27917,949660408.3,441.png
442,0.17,38,1.35E+11,0.2766,920479552.9,442.png
443,0.17,46,1.33E+11,0.28235,900613516,443.png
444,0.17,39,1.34E+11,0.27753,937438710.1,444.png
445,0.17,37,1.35E+11,0.28971,906474032.5,445.png
446,0.17,30,1.36E+11,0.2988,919802053.2,446.png
447,0.17,35,1.35E+11,0.26681,935151707.6,447.png
448,0.17,33,1.35E+11,0.27797,926658182.1,448.png
449,0.17,56,1.33E+11,0.27697,919215648,449.png
450,0.17,39,1.35E+11,0.28661,888154508.8,450.png
451,0.18,41,1.37E+11,0.2794,937447858.2,451.png
452,0.18,48,1.35E+11,0.26793,857963392.3,452.png
453,0.18,38,1.36E+11,0.27583,915854728.5,453.png
454,0.18,31,1.38E+11,0.26785,914222184.8,454.png
455,0.18,38,1.36E+11,0.27344,837465376.8,455.png
456,0.18,28,1.38E+11,0.27199,826768573.6,456.png
457,0.18,35,1.37E+11,0.26095,879970019.6,457.png
458,0.18,35,1.37E+11,0.26601,822353534.5,458.png
459,0.18,33,1.39E+11,0.27575,962774442.6,459.png
460,0.18,37,1.37E+11,0.26505,984538049.4,460.png
461,0.18,39,1.36E+11,0.27653,830544514.1,461.png
462,0.18,38,1.37E+11,0.27902,901237920,462.png
463,0.18,38,1.37E+11,0.26722,901407828.6,463.png
464,0.18,34,1.39E+11,0.26165,923015803.7,464.png
465,0.18,40,1.37E+11,0.27853,867912261.1,465.png
466,0.18,39,1.35E+11,0.2741,932907945.7,466.png
467,0.18,56,1.33E+11,0.26669,743763071.3,467.png
468,0.18,36,1.35E+11,0.28224,876333290.3,468.png
469,0.18,38,1.37E+11,0.27342,912489768.4,469.png
470,0.18,44,1.36E+11,0.28215,873531763.1,470.png
